"1.upload","ALBERTA","EMPMPETA","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","427.523735060873","326.152127778398","433.750112447332","0","0","710","0","575.210970464135","728.070925225531","686.319262388313","591.599853935558","1317.28465121107","1541.89009861006","558.135984661252","544.587260336816","540.880169879662","373.952164014318","303.897526294143","243.917751367668","308.341303486437",""
"1.upload","ALBERTA","EMPMPETO","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","57.4762649391265","43.8478722216017","56.2498875526684","0","0","0","0","89.789029535865","88.3860759493671","136.086497890295","158.400146064442","172.283717680495","189.001392763841","80.5710592336847","82.157266870281","85.5995777911592","124.568145026481","80.3840870387584","64.5188067021613","41.6586965135626",""
"1.upload","ALBERTA","EMPMCHEMP","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","1199.70662108365","1508.56453684787","1825.72444010482","1661.70511298432","1630.5316445446","1595.05552129388","1862.52385681051","1199.17708381858","1177.0446208622","1070.40639025417","1074.43047442806","1270.56478679156","962.235195594793","1046.26188521084","1277.64672520939","1082.47864277583","1537.66952861954","1616.42551781119","2590.39484739077","1436.67533923253",""
"1.upload","ALBERTA","EMPMCHEMG","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","309.337532299827","388.974790121639","189.764485575672","196.059783495107","208.013513139739","184.994699615158","200.21667080601","0.000000000000388372948946803","376.299442315365","658.982154495589","523.899940000649","556.935183891934","249.86510533921","400.274356352723","289.399941551006","352.248655021996","178.490498492803","331.73814500522","531.6253499067","699.434046731629",""
"1.upload","ALBERTA","EMPMCHEMD","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","235.9973896765","275.366155473479","190.965521692956","182.729389345547","195.731992659457","180.44223250176","184.887429574525","0.00000000000033289109909726","268.462195473231","197.158880484088","221.518898492684","536.12025860869","265.143423025329","329.618869686508","215.188715753901","244.690149452809","123.734131258951","39.2998620645148","62.9798027025319","97.6130926885427",""
"1.upload","ALBERTA","EMPMCHEMI","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","926.277521347292",""
"1.upload","ALBERTA","EMPMNMY","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","198.546724745398","213.541033192685","217.369788648457","234.447659810286","226.836580592076","232.131515706351","228.208652188579","279.642078464095","195.810611914541","203.837845688952","204.596531315363","169.712570506189","219.211190869627","189.630419584221","193.216200458981","193.473181641839","178.589679436164","183.606060295722","1339.26416304218","110.10069557232",""
"1.upload","ALBERTA","EMPMNMG","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","198.834083826835","226.939412018854","234.049738903851","237.057063771147","221.719145706304","222.216850710643","216.237337404925","387.849639515834","388.735048712715","211.692392283071","241.327651853007","207.397185023792","221.941674311522","182.871348924317","213.666921572122","215.242953802384","188.450650020049","195.459317913158","42.6904542832329","256.593314836752",""
"1.upload","ALBERTA","EMPMNMCC","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1319.47938934627","1369.55137636856","1528.95691248967","1146.29072747728","1066.73723854233","1050.15557543437","1189.01867719483","1345.95536037428","1364.69438335514","1070.94436154698","1360.91844334869","2381.20300584517","1559.96866735384",""
"1.upload","ALBERTA","EMPMNMCR","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","1636.85176656424","1610.73675262475","1824.32025948698","2407.24467777909","2414.02436550941","2396.98520801715","2382.51431675419","1896.13654782057","2334.49571037624","2094.55387121549","1824.26953014449","868.969700503094","2472.4055694344",""
"1.upload","ALBERTA","EMPMNMCO","V","L",198001,"201601","201601","37@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,"0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","0.001","968.668844089484","1005.65222634413","1142.52167508183","981.506728558635","869.238395948262","925.748137101125","868.467006050987","766.670719003843","869.190640731101","504.501767237528","869.812026506818","1164.82729365173","777.625763211755",""
