"1.upload","ALBERTA","XXA!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2990.40066714164,4053.40810595236,3109.45852271559,2899.48547450918,4126.21511053137,5021.15955585683,5211.49870048019,4840.75877913259,"4747.74822651111","",""
"1.upload","ALBERTA","XXA","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2990.40066714164,5256.26506084617,3463.76222839618,3308.99192858668,4704.04229287733,5225.60167613017,7125.81304274597,4920.54404958492,"","",""
"1.upload","ALBERTA","MXA!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,496.721256082678,618.148459008487,623.433024427153,703.053549187093,754.557525492841,885.784545658963,1004.75615660317,1015.69534435164,"1160.63577017972","",""
"1.upload","ALBERTA","MXA","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,496.701111071534,600.687463181263,595.384861966152,682.815109973635,701.559157229423,821.654670447532,879.297140297043,786.006585988757,"825.725057325717","",""
"1.upload","ALBERTA","XNA!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1056.85284854333,1173.47713256026,751.628117252608,910.80915386313,1072.65727820052,1364.26327705748,1006.66053842177,1552.72212674436,"1556.94202583988","",""
"1.upload","ALBERTA","XNA","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1056.85284854333,1521.70881646994,837.271525997532,1039.44653805384,1222.87012849608,1419.81078035228,1376.43223313912,1578.31405571088,"","",""
"1.upload","ALBERTA","MNA!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1786.05258235648,1825.54296619247,1964.43267826169,1999.12105140799,2187.1097524171,2105.16683667432,2264.98588546222,2220.8053589913,"2368.27504641528","",""
"1.upload","ALBERTA","MNA","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,1786.05258235648,2056.52899365887,2196.68227064469,2147.89097656404,2256.72654362358,2137.34414702754,2754.10155714005,2207.23617490071,"","",""
"1.upload","ALBERTA","XXAC!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2164.92631475758,3267.03761968988,2503.31617892866,2247.75419736769,3551.85848036518,4298.36026407529,4351.7803767326,3862.70408674297,"3955.48522842266","",""
"1.upload","ALBERTA","XXAC","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,2164.92631475758,2740.12639382272,2350.29552625191,2099.65195646795,2835.18760590116,3004.18167824515,3583.88833529263,3514.18093108419,"","",""
"1.upload","ALBERTA","MXAC!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,457.352936782957,578.07659242626,563.811418968798,619.874049198149,681.229790604917,802.011561823901,952.779078407712,961.443754592677,"1101.3673986339","",""
"1.upload","ALBERTA","MXAC","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,457.124523212673,487.381934094805,512.222752881441,582.582348791439,541.879961186131,630.713947727829,728.486976801639,699.337526482796,"728.869123848278","",""
"1.upload","ALBERTA","XNAC!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,384.916657420744,591.468600103331,335.189067488049,425.45382822582,623.251901508283,782.224117088989,567.856900426164,765.949045451709,"746.986447754198","",""
"1.upload","ALBERTA","XNAC","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,384.916657420744,496.07592899844,314.699905827662,397.421107640355,497.496191438611,546.706933916293,467.655889169842,696.839175163989,"","",""
"1.upload","ALBERTA","MNAC!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,492.263353590373,648.619772327641,580.865808637745,442.970795246896,415.763647378598,467.110614287957,500.64578888869,428.073471108737,"534.659099220673","",""
"1.upload","ALBERTA","MNAC","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,492.263353590373,553.778936339335,543.841115941223,403.856272976614,337.317726735067,342.721964219371,435.204712730207,384.51837844777,"","",""
"1.upload","ALBERTA","XXAA!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,730.038848062864,706.870991440632,584.883907569063,623.125551286825,535.304430551939,682.937415495536,849.342347373183,966.706779570179,"780.674433370269","",""
"1.upload","ALBERTA","XXAA","V","L","199701","201401","201401","18@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,730.038848062864,689.316867066721,609.976883966459,656.426529790965,478.493776701755,570.35876347794,691.59213813715,668.453592881072,"","",""
"1.upload","ALBERTA","MXAA!","V","L","199701","201501","201501","19@01",0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,32.8212696250936,27.454305990764,31.5105651573387,31.9254924954342,30.7522289064914,38.0781441434758,41.2059826110948,39.7772861080913,"49.1885814567884","",""
