"1.upload","ALBERTA","CUMODAA","V","L","201701","202201","202201","5@01",5.27739362437728,3.95804521828296,2.63869681218864,1.31934840609432,0
"1.upload","ALBERTA","CUMODAC","V","L","201701","202201","202201","5@01",5.63326749431326,4.22495062073494,2.81663374715663,1.40831687357831,0
"1.upload","ALBERTA","CUMODACC","V","L","201701","202201","202201","5@01",-1.32892666114202,-0.996694995856515,-0.66446333057101,-0.332231665285505,0
"1.upload","ALBERTA","CUMODAF","V","L","201701","202201","202201","5@01",-6.79612272077549,-5.09709204058161,-3.39806136038774,-1.69903068019387,0
"1.upload","ALBERTA","CUMODAH","V","L","201701","202201","202201","5@01",-45.6613139787034,-34.2459854840275,-22.8306569893517,-11.4153284946758,0
"1.upload","ALBERTA","CUMODART","V","L","201701","202201","202201","5@01",-1.6244666686714,-1.21835000150355,-0.812233334335701,-0.406116667167851,0
"1.upload","ALBERTA","CUMODAS","V","L","201701","202201","202201","5@01",5.72900341236391,4.29675255927293,2.86450170618195,1.43225085309098,0
"1.upload","ALBERTA","CUMODAWMS","V","L","201701","202201","202201","5@01",0.0361127104520165,0.0270845328390124,0.0180563552260082,0.00902817761300412,0
"1.upload","ALBERTA","CUMODCON","V","L","201701","202201","202201","5@01",-3.42997665993749,-2.57248249495312,-1.71498832996875,-0.857494164984374,0
"1.upload","ALBERTA","CUMODEDU","V","L","201701","202201","202201","5@01",0.897019527599525,0.672764645699644,0.448509763799763,0.224254881899881,0
"1.upload","ALBERTA","CUMODEMC","V","L","201701","202201","202201","5@01",1.76291122220562,1.32218341665421,0.881455611102808,0.440727805551404,0
"1.upload","ALBERTA","CUMODEMMC","V","L","201701","202201","202201","5@01",0.845128613265835,0.633846459949376,0.422564306632918,0.211282153316459,0
"1.upload","ALBERTA","CUMODEMMG","V","L","201701","202201","202201","5@01",-21.3804916364833,-16.0353687273625,-10.6902458182417,-5.34512290912083,0
"1.upload","ALBERTA","CUMODEMMI","V","L","201701","202201","202201","5@01",-140.120726254336,-105.090544690752,-70.060363127168,-35.030181563584,0.000000000000014210854715202
"1.upload","ALBERTA","CUMODEMMO","V","L","201701","202201","202201","5@01",0.298588933461588,0.223941700096191,0.149294466730794,0.0746472333653969,0
"1.upload","ALBERTA","CUMODEMN","V","L","201701","202201","202201","5@01",-0.549481713909188,-0.412111285431891,-0.274740856954594,-0.137370428477297,0
"1.upload","ALBERTA","CUMODEO","V","L","201701","202201","202201","5@01",0.523883782732923,0.392912837049693,0.261941891366462,0.130970945683231,0
"1.upload","ALBERTA","CUMODES","V","L","201701","202201","202201","5@01",-8.69327660216356,-6.51995745162267,-4.34663830108178,-2.17331915054089,0
"1.upload","ALBERTA","CUMODFIN","V","L","201701","202201","202201","5@01",-1.13877685012625,-0.854082637594686,-0.569388425063124,-0.284694212531562,0
"1.upload","ALBERTA","CUMODHEAL","V","L","201701","202201","202201","5@01",-1.85945443633415,-1.39459082725061,-0.929727218167073,-0.464863609083537,0
"1.upload","ALBERTA","CUMODINFO","V","L","201701","202201","202201","5@01",1.85386589630752,1.39039942223064,0.926932948153762,0.463466474076881,0
"1.upload","ALBERTA","CUMODMB","V","L","201701","202201","202201","5@01",-2.93627388926126,-2.20220541694594,-1.46813694463063,-0.734068472315315,0
"1.upload","ALBERTA","CUMODMC","V","L","201701","202201","202201","5@01",-3.16677716414915,-2.37508287311186,-1.58338858207458,-0.791694291037288,0
"1.upload","ALBERTA","CUMODMCHEMB","V","L","201701","202201","202201","5@01",3.9637642320389,2.97282317402917,1.98188211601945,0.990941058009724,0
"1.upload","ALBERTA","CUMODMCHEMF","V","L","201701","202201","202201","5@01",6.58753723499672,4.94065292624754,3.29376861749836,1.64688430874918,0
"1.upload","ALBERTA","CUMODMCHEMM","V","L","201701","202201","202201","5@01",-10.0144962127462,-7.51087215955963,-5.00724810637308,-2.50362405318654,0
"1.upload","ALBERTA","CUMODMCOM","V","L","201701","202201","202201","5@01",-8.53143219124803,-6.39857414343602,-4.26571609562401,-2.13285804781201,0
"1.upload","ALBERTA","CUMODMELC","V","L","201701","202201","202201","5@01",-1.60359939461102,-1.20269954595827,-0.801799697305512,-0.400899848652756,0
"1.upload","ALBERTA","CUMODMF","V","L","201701","202201","202201","5@01",-0.167339524975034,-0.125504643731276,-0.0836697624875171,-0.0418348812437586,0
"1.upload","ALBERTA","CUMODMFMP","V","L","201701","202201","202201","5@01",-7.98452777996232,-5.98839583497174,-3.99226388998116,-1.99613194499058,0
"1.upload","ALBERTA","CUMODMFUR","V","L","201701","202201","202201","5@01",-1.69091755386233,-1.26818816539675,-0.845458776931167,-0.422729388465584,0
"1.upload","ALBERTA","CUMODMMAC","V","L","201701","202201","202201","5@01",-10.2700255073503,-7.70251913051275,-5.13501275367517,-2.56750637683758,0
"1.upload","ALBERTA","CUMODMMETA","V","L","201701","202201","202201","5@01",0.230414881314118,0.172811160985589,0.115207440657059,0.0576037203285296,0
"1.upload","ALBERTA","CUMODMMETF","V","L","201701","202201","202201","5@01",3.39878622680629,2.54908967010472,1.69939311340315,0.849696556701574,0
"1.upload","ALBERTA","CUMODMMETFN","V","L","201701","202201","202201","5@01",-113.458434652616,-85.0938259894622,-56.7292173263081,-28.3646086631541,0
"1.upload","ALBERTA","CUMODMMETI","V","L","201701","202201","202201","5@01",-1.50494766606727,-1.12871074955045,-0.752473833033633,-0.376236916516817,0
"1.upload","ALBERTA","CUMODMMETN","V","L","201701","202201","202201","5@01",-2.64525990074105,-1.98394492555579,-1.32262995037053,-0.661314975185263,0
