Vector,Aggregation
V65201394,avg
V65201395,avg
V65201396,avg
V65201397,avg
V65201407,avg
V65201229,avg
V65201419,avg
V65201231,avg
V65201429,avg
V65201232,avg
V65201441,avg
V65201442,avg
V65201233,avg
V65201452,avg
V65201457,avg
V65201234,avg
V65201463,avg
V65201468,avg
V65201235,avg
V65201471,avg
V65201476,avg
V65201236,avg
V65201237,avg
V65201212,avg
V65201240,avg
V65201241,avg
V65201242,avg
V65201243,avg
V65201244,avg
V65201245,avg
V65201246,avg
V65201247,avg
V65201253,avg
V65201254,avg
V65201255,avg
V65201256,avg
V65201257,avg
V65201258,avg
V65201263,avg
V65201264,avg
V65201274,avg
V62425550,avg
V65201280,avg
V65201281,avg
V65201282,avg
V65201286,avg
V65201287,avg
V65201288,avg
V65201289,avg
V65201290,avg
V65201291,avg
V65201293,avg
V65201294,avg
V65201296,avg
V65201297,avg
V65201301,avg
V65201304,avg
V65201305,avg
V65201307,avg
V65201308,avg
V52368145,EOP
V800450,Sum
V65201483,avg
V65201582,avg
V65201583,avg
V65201584,avg
V65201585,avg
V65201586,avg
V65201595,avg
V65201603,avg
V65201609,avg
V65201614,avg
V65201624,avg
V65201628,avg
V65201631,avg
V65201641,avg
V65201654,avg
V65201655,avg
V65201656,avg
V65201657,avg
V65201658,avg
V65201663,avg
V65201664,avg
V65201665,avg
V65201666,avg
V65201667,avg
V65201668,avg
V65201669,avg
V65201670,avg
V65201680,avg
V65201502,avg
V65201692,avg
V65201504,avg
V65201702,avg
V65201505,avg
V65201714,avg
V65201715,avg
V65201506,avg
V65201725,avg
V65201730,avg
V65201507,avg
V65201736,avg
V65201741,avg
V65201508,avg
V65201744,avg
V65201749,avg
V65201509,avg
V65201510,avg
V65201513,avg
V65201514,avg
V65201515,avg
V65201516,avg
V65201517,avg
V65201518,avg
V65201519,avg
V65201520,avg
V65201526,avg
V65201527,avg
V65201528,avg
V65201529,avg
V65201530,avg
V65201531,avg
V65201536,avg
V65201537,avg
V65201547,avg
V65201553,avg
V65201554,avg
V65201555,avg
V65201559,avg
V65201560,avg
V65201561,avg
V65201562,avg
V65201563,avg
V65201564,avg
V65201566,avg
V65201567,avg
V65201569,avg
V65201570,avg
V65201574,avg
V65201577,avg
V65201578,avg
V65201580,avg
V65201581,avg
V42256,Sum
V17952,Sum
V79310346,avg
V79310350,avg
V79310749,avg
V79310750,avg
V52354207,EOP
V79310372,avg
V79310373,avg
V79310381,avg
V79310391,avg
V79310400,avg
V79310402,avg
V79310403,avg
V79310406,avg
V79310407,avg
V79310408,avg
V79310409,avg
V79310410,avg
V79310411,avg
V79310412,avg
V79310419,avg
V79310424,avg
V79310431,avg
V29850343,Sum
V79310247,avg
V79310644,avg
V107792870,avg
V1996471,Sum
V62305808,Sum
V62305809,Sum
V62305811,Sum
V62305812,Sum
V122543,EOP
V17969,Sum
V79310458,avg
V79310459,avg
V79310462,avg
V79310466,avg
V79310467,avg
V79310468,avg
V79310470,avg
V79310471,avg
V79310474,avg
V79310477,avg
V79310478,avg
V79310479,avg
V79310485,avg
V79310486,avg
V79310488,avg
V79310489,avg
V79310490,avg
V79310491,avg
V79310492,avg
V79310493,avg
V79310496,avg
V79310499,avg
V79310533,avg
V122495,EOP
V107792871,avg
V17948,Sum
V79310561,avg
V79310574,avg
V79310593,avg
V79310618,avg
V79310634,avg
V122523,EOP
V52354200,EOP
V79310297,avg
V52354201,EOP
V79310306,avg
V79310316,avg
V79310323,avg
V79310721,avg
V52354203,EOP
V122491,EOP
V79310739,avg
V15,avg
V29850387,Sum
V29850388,Sum
V17729,Sum
V17719,Sum
V29850392,Sum
V52354567,EOP
V29850393,Sum
V17746,Sum
V52354561,EOP
V52354563,EOP
V4,avg
V29850397,Sum
V29850398,Sum
V41891744,Sum
V52354639,EOP
V52354633,EOP
V52354635,EOP
V29850407,Sum
V41891747,Sum
V29850408,Sum
V29850412,Sum
V52354711,EOP
V29850413,Sum
V52354705,EOP
V52354707,EOP
V52354747,EOP
V52354741,EOP
V52354743,EOP
V29850347,Sum
V52354243,EOP
V29850348,Sum
V41690973,avg
V41691233,avg
V41691238,avg
V41691239,avg
V52354237,EOP
V52354239,EOP
V29850352,Sum
V52354279,EOP
V29850353,Sum
V17997,Sum
V52354272,EOP
V52354275,EOP
V29850357,Sum
V52354315,EOP
V29850358,Sum
V18014,Sum
V18004,Sum
V52354309,EOP
V52354311,EOP
V29850362,Sum
V52354351,EOP
V29850363,Sum
V18038,Sum
V18024,Sum
V52354345,EOP
V52354347,EOP
V29850367,Sum
V52354387,EOP
V29850368,Sum
V18069,Sum
V18050,Sum
V52354381,EOP
V52354383,EOP
V29850372,Sum
V52354423,EOP
V29850373,Sum
V18090,Sum
V18079,Sum
V52354417,EOP
V52354419,EOP
V29850377,Sum
V52354459,EOP
V29850378,Sum
V18099,Sum
V52354453,EOP
V52354455,EOP
V29850382,Sum
V52354495,EOP
V29850383,Sum
V52354489,EOP
V52354491,EOP
V65201565,avg
V65201568,avg
V65201571,avg
V65201572,avg
V65201573,avg
V65201579,avg
V65201292,avg
V65201295,avg
V65201298,avg
V65201299,avg
V65201300,avg
V65201306,avg
V54061625,avg
V54061626,avg
V54061627,avg
V54061628,avg
V54061629,avg
V54061630,avg
V54061631,avg
V54061632,avg
V54061633,avg
V54061634,avg
V54061635,avg
V54061636,avg
V54061637,avg
V54061638,avg
V54061639,avg
V54061640,avg
V54061641,avg
V54061642,avg
V54061643,avg
V54061644,avg
V54061645,avg
V54061646,avg
V54061647,avg
V54061648,avg
V54061649,avg
V54061650,avg
V54061651,avg
V54061652,avg
V54061653,avg
V54061654,avg
V54061655,avg
V54061656,avg
V54061657,avg
V54061658,avg
V54061659,avg
V54061660,avg
V54061661,avg
V54061662,avg
V54061663,avg
V54061664,avg
V54061665,avg
V54061666,avg
V54061667,avg
V54061668,avg
V54061669,avg
V54061670,avg
V54061671,avg
V54061672,avg
V54061673,avg
V54061674,avg
V54061675,avg
V54061676,avg
V54061677,avg
V54061678,avg
V54061679,avg
V54061680,avg
V54061681,avg
V54061682,avg
V54061683,avg
V54061684,avg
V54061685,avg
V54061686,avg
V54061687,avg
V54061688,avg
V54061689,avg
V54061690,avg
V54061691,avg
V54061692,avg
V54061693,avg
V54061694,avg
V54061695,avg
V54061696,avg
V54061697,avg
V54061698,avg
V54061699,avg
V54061700,avg
V54061701,avg
V54061702,avg
V54061703,avg
V54061704,avg
V54061705,avg
V54061706,avg
V54061707,avg
V54061708,avg
V54061709,avg
V54061710,avg
V54061711,avg
V54061712,avg
V54061713,avg
V54061714,avg
V54061715,avg
V54061716,avg
V54061717,avg
V54061718,avg
V54061719,avg
V54061720,avg
V54061721,avg
V54061722,avg
V54061723,avg
V54061724,avg
V54061725,avg
V54061726,avg
V54061727,avg
V54061728,avg
V54061729,avg
V54061730,avg
V54061731,avg
V54061732,avg
V54061733,avg
V54061734,avg
V54061735,avg
V54061736,avg
V54061737,avg
V54061738,avg
V54061739,avg
V54061740,avg
V54061741,avg
V54061742,avg
