sector_cd,PRODUCT,ProductCode,sector_cd_new
MNMAO,"Plastic resins (x 1,000)",MPG325201,MNMO
MNMAO,"Printed products (x 1,000)",MPG323001,MNMO
MNMAO,"Retail margins - miscellaneous products (x 1,000)",MPS453000,MNMO
MNMAO,"Soaps and cleaning compounds (x 1,000)",MPG325601,MNMO
MNMAO,"Wholesale trade commissions (x 1,000)",MPS410002,MNMO
MNMAO,"Plastic and foam building and construction materials (x 1,000)",MPG326103,MNMO
MNMC,"Architectural, engineering and related services (x 1,000)",MPS541300,MNMCO
MNMC,"Asphalt (except natural) and asphalt products (x 1,000)",MPG3241A1,MNMCO
MNMC,"Cement (x 1,000)",MPG327301,MNMCC
MNMC,"Chemical products, n.e.c. (x 1,000)",MPG325900,MNMCO
MNMC,"Commercial and industrial machinery and equipment (except office equipment) rental and leasing services (x 1,000)",MPS532A03,MNMCO
MNMC,"Concrete products (x 1,000)",MPG327303,MNMCO
MNMC,"Custom work manufacturing services (except printing, finishing textiles and metals) (x 1,000)",MPS3X0000,MNMCO
MNMC,"Fabricated steel plates and other fabricated structural metal (x 1,000)",MPG332302,MNMCO
MNMC,"Head office services (imputed) (x 1,000)",IMS551002,MNMCO
MNMC,"Legal services (x 1,000)",MPS541100,MNMCO
MNMC,"Licensing of rights to non-financial produced intangible assets (except software and other copyright licensing) (x 1,000)",MPS533000,MNMCO
MNMC,"Logging, mining and construction machinery and equipment (x 1,000)",MPG333102,MNMCO
MNMC,"Management, scientific and technical consulting services (x 1,000)",MPS541600,MNMCO
MNMC,"Non-metallic mineral products, n.e.c. (x 1,000)",MPG327A09,MNMCO
MNMC,"Office administrative services (x 1,000)",MPS561100,MNMCO
MNMC,"Other architectural metal products (x 1,000)",MPG332A05,MNMCO
MNMC,"Other industry-specific machinery (x 1,000)",MPG333200,MNMCO
MNMC,"Own-account research and development (except software development) (x 1,000)",IMS541702,MNMCO
MNMC,"Own-account software design and development services (x 1,000)",IMS541502,MNMCO
MNMC,"Paints, coatings and adhesive products (x 1,000)",MPG325500,MNMCO
MNMC,"Plastic resins (x 1,000)",MPG325201,MNMCO
MNMC,"Prepared meals (x 1,000)",MPS722001,MNMCO
MNMC,"Ready-mixed concrete (x 1,000)",MPG327302,MNMCR
MNMC,"Rental of non-residential real estate (x 1,000)",MPS531102,MNMCO
MNMC,"Repair and maintenance services (except for buildings and motor vehicles) (x 1,000)",MPS811A00,MNMCO
MNMC,"Rooming and boarding services (x 1,000)",MPS721A02,MNMCO
MNMC,"Sand, gravel, clay, and refractory minerals (x 1,000)",MPG212320,MNMCO
MNMC,"Wholesale margins - building materials and supplies (x 1,000)",MPS416000,MNMCO
MNMC,"Wholesale trade commissions (x 1,000)",MPS410002,MNMCO
MNMC,"Business support services (x 1,000)",MPS561400,MNMCO
MNMC,"Clay and ceramic products and refractories (x 1,000)",MPG327A01,MNMCO
MNMC,"Iron and steel basic shapes and ferro-alloy products (x 1,000)",MPG331100,MNMCO
MNMC,"Motor vehicle bodies and special purpose motor vehicles (x 1,000)",MPG336202,MNMCO
MNMC,"Other miscellaneous manufactured products (x 1,000)",MPG339909,MNMCO
MNMC,"Switchgear, switchboards, relays and industrial control apparatus (x 1,000)",MPG335303,MNMCO
MNMC,"Waste and scrap of glass (x 1,000)",MPG327A03,MNMCO
MNMC,"Truck transportation services for general freight (x 1,000)",MPS484004,MNMCO
MNMC,"Truck transportation services for specialized freight (x 1,000)",MPS484005,MNMCO
MNMC,"Stone (x 1,000)",MPG212310,MNMCO
MPETAO,"Architectural, engineering and related services (x 1,000)",MPS541300,MPETO
MPETAO,"Asphalt (except natural) and asphalt products (x 1,000)",MPG3241A1,MPETA
MPETAO,"Business support services (x 1,000)",MPS561400,MPETO
MPETAO,"Chemical products, n.e.c. (x 1,000)",MPG325900,MPETO
MPETAO,"Coke and other coke oven products (x 1,000)",ENE3241A2,MPETO
MPETAO,"Commercial and industrial machinery and equipment (except office equipment) rental and leasing services (x 1,000)",MPS532A03,MPETO
